ticker,price
A,148.67
AA,31.3501
AACG,1.255
AACI,11.0
AACIU,11.51
AACIW,0.087
AACT,10.56
AADI,2.18
AAGR,0.3905
AAGRW,0.013
AAL,14.715
AAMC,3.6813
AAME,2.79
AAN,7.3
AAOI,14.8499
AAON,88.25
AAP,87.43
AAPL,171.3901
AAT,21.57
AAU,0.14
AB,34.73
ABAT,1.97
ABBV,176.955
ABCB,48.18
ABCL,4.745
ABEO,7.675
ABEV,2.5
ABG,225.78
ABIO,1.7719
ABL,12.2999
ABLLL,25.36
ABLLW,0.62
ABLV,2.66
ABLVW,0.0627
ABM,44.27
ABNB,168.7076
ABOS,4.31
ABR,13.07
ABR^D,18.9559
ABR^E,19.41
ABR^F,19.2185
ABSI,5.255
ABT,111.76
ABTS,0.8
ABUS,2.545
ABVC,1.06
ABVX,15.02
AC,33.33
ACA,85.245
ACAB,10.73
ACAC,11.21
ACACW,0.0837
ACAD,18.51
ACB,3.74
ACBA,12.23
ACCD,9.75
ACCO,5.7
ACDC,8.275
ACEL,11.915
ACET,2.125
ACGL,91.045
ACGLN,20.7225
ACGLO,23.78
ACHC,75.61
ACHL,1.2641
ACHR,5.17
ACHV,4.6
ACI,20.96
ACIC,10.875
ACIU,3.21
ACIW,32.66
ACLS,116.38
ACLX,73.19
ACM,98.035
ACMR,30.7299
ACN,346.02
ACNB,36.5
ACNT,10.6
ACON,0.369
ACONW,0.0409
ACOR,12.5
ACP,6.8488
ACP^A,23.99
ACR,13.845
ACR^C,24.5999
ACR^D,22.71
ACRE,7.79
ACRS,1.17
ACRV,6.59
ACST,3.41
ACT,30.53
ACTG,5.22
ACU,41.81
ACV,23.6
ACVA,19.13
ACXP,2.045
ADAG,2.64
ADAP,1.3525
ADBE,508.125
ADC,56.2917
ADC^A,18.305
ADCT,4.59
ADD,0.2542
ADEA,11.097
ADI,197.6
ADIL,1.72
ADM,62.58
ADMA,6.255
ADN,0.1845
ADNT,33.55
ADNWW,0.0265
ADOC,2.71
ADOCR,0.25
ADOCW,0.0367
ADP,250.39
ADPT,3.355
ADRT,13.98
ADSE,10.6
ADSEW,2.1
ADSK,266.79
ADT,6.655
ADTH,3.37
ADTHW,0.125
ADTN,5.47
ADTX,3.1845
ADUS,100.45
ADV,4.24
ADVM,15.0
ADVWW,0.11
ADX,19.47
ADXN,12.0879
AE,25.6518
AEAE,11.25
AEE,72.1
AEF,5.0292
AEFC,22.5895
AEG,5.87
AEHL,1.6
AEHR,15.0501
AEI,0.6998
AEIS,98.78
AEL,56.23
AEL^A,24.2701
AEL^B,24.97
AEM,56.455
AEMD,1.66
AENT,1.7301
AENTW,0.03
AEO,25.645
AEON,10.75
AEP,83.335
AER,86.62
AERT,2.48
AES,15.85
AESI,22.35
AEVA,4.52
AEYE,10.405
AEZS,1.9701
AFAR,11.07
AFB,10.92
AFBI,16.53
AFCG,13.155
AFG,133.4
AFGB,24.8295
AFGC,22.45
AFGD,24.46
AFGE,21.3099
AFIB,0.1839
AFJK,10.19
AFJKU,10.36
AFL,84.91
AFMD,5.05
AFRI,10.42
AFRIW,1.44
AFRM,37.87
AFT,14.37
